Date,Description,Check Number,Amount,Balance,Category,all
02/17/2023,MOBILE ,,$70.41,"$4,063.81",Telecommunications,"02/17/2023,MOBILE ,nan,$70.41,$4,063.81,Telecommunications"
02/17/2023,#57L5OJTVWFFI  AMAZON.COM SEATTLE WA Card 0432,,-$200.00,"$3,993.40",Shopping,"02/17/2023,#57L5OJTVWFFI  AMAZON.COM SEATTLE WA Card 0432,nan,-$200.00,$3,993.40,Shopping"
02/17/2023,#2ASHWJL9P4O8  AMAZON.COM SEATTLE WA Card 0432,,-$68.36,"$4,193.40",Shopping,"02/17/2023,#2ASHWJL9P4O8  AMAZON.COM SEATTLE WA Card 0432,nan,-$68.36,$4,193.40,Shopping"
02/17/2023,#5CZODHQ2JCES  AMAZON.COM SEATTLE WA Card 0432,,-$31.72,"$4,261.76",Shopping,"02/17/2023,#5CZODHQ2JCES  AMAZON.COM SEATTLE WA Card 0432,nan,-$31.72,$4,261.76,Shopping"
02/17/2023,#000000G0O6JP  AMAZON.COM SEATTLE WA Card 5386,,-$200.84,"$4,293.48",Shopping/Retail,"02/17/2023,#000000G0O6JP  AMAZON.COM SEATTLE WA Card 5386,nan,-$200.84,$4,293.48,Shopping/Retail"
02/17/2023,#2WCX7D0O5T82  AMAZON.COM SEATTLE WA Card 0432,,-$18.88,"$4,494.32",Shopping,"02/17/2023,#2WCX7D0O5T82  AMAZON.COM SEATTLE WA Card 0432,nan,-$18.88,$4,494.32,Shopping"
02/17/2023,MICROFINISH 888-710-5192 LA 02/17/23 Card 0432 Visa Check,,-$66.36,"$4,513.20",Business Expense,"02/17/2023,MICROFINISH 888-710-5192 LA 02/17/23 Card 0432 Visa Check,nan,-$66.36,$4,513.20,Business Expense"
02/16/2023,Transfer To Share 12,,"-$3,500.00","$4,579.56",Transfer,"02/16/2023,Transfer To Share 12,nan,-$3,500.00,$4,579.56,Transfer"
02/16/2023,Bridgecrest  : DT RETAIL   : 2860677984,,-$422.00,"$5,279.56",Retail,"02/16/2023,Bridgecrest  : DT RETAIL   : 2860677984,nan,-$422.00,$5,279.56,Retail"
02/16/2023,FOOD GIANT 542 COURT SQUARE LINDEN TN Card 0432,,-$67.15,"$5,701.56",Groceries,"02/16/2023,FOOD GIANT 542 COURT SQUARE LINDEN TN Card 0432,nan,-$67.15,$5,701.56,Groceries"
02/16/2023,DISCOVER  : E-PAYMENT   : 3510020270,,-$100.00,"$5,768.71",Electronic Payment,"02/16/2023,DISCOVER  : E-PAYMENT   : 3510020270,nan,-$100.00,$5,768.71,Electronic Payment"
02/15/2023,ADOBE *CREATIVE CLOUD 408-536-6000 CA Card 0432,,-$56.68,"$4,868.71",Software/Subscription,"02/15/2023,ADOBE *CREATIVE CLOUD 408-536-6000 CA Card 0432,nan,-$56.68,$4,868.71,Software/Subscription"
02/15/2023,Transfer To Share 12,,"-$1,000.00","$4,925.39",Transfer,"02/15/2023,Transfer To Share 12,nan,-$1,000.00,$4,925.39,Transfer"
02/15/2023,CHATGPT SUBSCRIPTION OPENAI.COM CA 02/15/23 Card 5386 Visa Check,,-$21.95,"$5,925.39",Subscription/Membership Fees,"02/15/2023,CHATGPT SUBSCRIPTION OPENAI.COM CA 02/15/23 Card 5386 Visa Check,nan,-$21.95,$5,925.39,Subscription/Membership Fees"
02/15/2023,SLIM CHICKENS 13106 OLO 719-463-0044 CO 02/14/23 Card 5386 Visa Check,,-$21.39,"$5,947.34",Food,"02/15/2023,SLIM CHICKENS 13106 OLO 719-463-0044 CO 02/14/23 Card 5386 Visa Check,nan,-$21.39,$5,947.34,Food"
02/15/2023,PRIME STORAGE CO 04 719-4955153 CO 02/14/23 Card 0432 Visa Check,,-$361.00,"$6,893.26",Storage,"02/15/2023,PRIME STORAGE CO 04 719-4955153 CO 02/14/23 Card 0432 Visa Check,nan,-$361.00,$6,893.26,Storage"
02/15/2023,8667127753 APPLE COM BILL CUPERTINO CA Card 0432,,-$30.64,"$7,254.26",Technology/Electronics,"02/15/2023,8667127753 APPLE COM BILL CUPERTINO CA Card 0432,nan,-$30.64,$7,254.26,Technology/Electronics"
02/15/2023,BURGER KING #27301 HOHENWALD TN 02/13/23 Card 0432 Visa Check,,-$5.58,"$7,284.90",Food/Dining,"02/15/2023,BURGER KING #27301 HOHENWALD TN 02/13/23 Card 0432 Visa Check,nan,-$5.58,$7,284.90,Food/Dining"
02/14/2023,MIDJOURNEY INC. HTTPSWWW.MIDJ CA 02/15/23 Card 5386 Visa Check,,-$10.00,"$7,290.48",Business Expenses,"02/14/2023,MIDJOURNEY INC. HTTPSWWW.MIDJ CA 02/15/23 Card 5386 Visa Check,nan,-$10.00,$7,290.48,Business Expenses"
02/14/2023,#45KXBWI5XJNY  AMAZON.COM SEATTLE WA Card 0432,,-$21.93,"$7,300.48",Shopping/Retail,"02/14/2023,#45KXBWI5XJNY  AMAZON.COM SEATTLE WA Card 0432,nan,-$21.93,$7,300.48,Shopping/Retail"
02/14/2023,STARBUCKS STORE 52126 COLUMBIA TN 02/13/23 Card 0432 Visa Check,,-$12.32,"$7,322.41",Food & Beverage,"02/14/2023,STARBUCKS STORE 52126 COLUMBIA TN 02/13/23 Card 0432 Visa Check,nan,-$12.32,$7,322.41,Food & Beverage"
02/14/2023,LAWDEPOT.COM  : IAT PAYPAL   : 770510487C,,-$33.00,"$7,334.73",Online Shopping,"02/14/2023,LAWDEPOT.COM  : IAT PAYPAL   : 770510487C,nan,-$33.00,$7,334.73,Online Shopping"
02/14/2023,PAYPAL  : INST XFER   : PAYPALSI77,,-$19.46,"$7,367.73",Payment Services,"02/14/2023,PAYPAL  : INST XFER   : PAYPALSI77,nan,-$19.46,$7,367.73,Payment Services"
